"metric","group","path","lines","exists"
"rendered-dev.yaml","rendered","experiment-results/20260513-181043/rendered/rendered-dev.yaml","845","True"
"rendered-dev-kind-Deployment","rendered-kind-count","rendered\rendered-dev.yaml","5","True"
"rendered-dev-kind-Ingress","rendered-kind-count","rendered\rendered-dev.yaml","2","True"
"rendered-dev-kind-NetworkPolicy","rendered-kind-count","rendered\rendered-dev.yaml","5","True"
"rendered-dev-kind-Service","rendered-kind-count","rendered\rendered-dev.yaml","5","True"
"rendered-dev-kind-ServiceAccount","rendered-kind-count","rendered\rendered-dev.yaml","5","True"
"rendered-stage.yaml","rendered","experiment-results/20260513-181043/rendered/rendered-stage.yaml","845","True"
"rendered-stage-kind-Deployment","rendered-kind-count","rendered\rendered-stage.yaml","5","True"
"rendered-stage-kind-Ingress","rendered-kind-count","rendered\rendered-stage.yaml","2","True"
"rendered-stage-kind-NetworkPolicy","rendered-kind-count","rendered\rendered-stage.yaml","5","True"
"rendered-stage-kind-Service","rendered-kind-count","rendered\rendered-stage.yaml","5","True"
"rendered-stage-kind-ServiceAccount","rendered-kind-count","rendered\rendered-stage.yaml","5","True"
"rendered-prod.yaml","rendered","experiment-results/20260513-181043/rendered/rendered-prod.yaml","845","True"
"rendered-prod-kind-Deployment","rendered-kind-count","rendered\rendered-prod.yaml","5","True"
"rendered-prod-kind-Ingress","rendered-kind-count","rendered\rendered-prod.yaml","2","True"
"rendered-prod-kind-NetworkPolicy","rendered-kind-count","rendered\rendered-prod.yaml","5","True"
"rendered-prod-kind-Service","rendered-kind-count","rendered\rendered-prod.yaml","5","True"
"rendered-prod-kind-ServiceAccount","rendered-kind-count","rendered\rendered-prod.yaml","5","True"
"rendered-istio.yaml","rendered","experiment-results/20260513-181043/rendered/rendered-istio.yaml","958","True"
"rendered-istio-kind-Deployment","rendered-kind-count","rendered\rendered-istio.yaml","5","True"
"rendered-istio-kind-DestinationRule","rendered-kind-count","rendered\rendered-istio.yaml","2","True"
"rendered-istio-kind-Gateway","rendered-kind-count","rendered\rendered-istio.yaml","1","True"
"rendered-istio-kind-Ingress","rendered-kind-count","rendered\rendered-istio.yaml","2","True"
"rendered-istio-kind-NetworkPolicy","rendered-kind-count","rendered\rendered-istio.yaml","5","True"
"rendered-istio-kind-Service","rendered-kind-count","rendered\rendered-istio.yaml","5","True"
"rendered-istio-kind-ServiceAccount","rendered-kind-count","rendered\rendered-istio.yaml","5","True"
"rendered-istio-kind-VirtualService","rendered-kind-count","rendered\rendered-istio.yaml","2","True"
"rendered-dev-with-billing.yaml","rendered","experiment-results/20260513-181043/rendered/rendered-dev-with-billing.yaml","1002","True"
"rendered-dev-with-billing-kind-Deployment","rendered-kind-count","rendered\rendered-dev-with-billing.yaml","6","True"
"rendered-dev-with-billing-kind-Ingress","rendered-kind-count","rendered\rendered-dev-with-billing.yaml","2","True"
"rendered-dev-with-billing-kind-NetworkPolicy","rendered-kind-count","rendered\rendered-dev-with-billing.yaml","6","True"
"rendered-dev-with-billing-kind-Service","rendered-kind-count","rendered\rendered-dev-with-billing.yaml","6","True"
"rendered-dev-with-billing-kind-ServiceAccount","rendered-kind-count","rendered\rendered-dev-with-billing.yaml","6","True"
"values.yaml","values","chart/values.yaml","263","True"
"values-dev.yaml","values","chart/values-dev.yaml","20","True"
"values-stage.yaml","values","chart/values-stage.yaml","19","True"
"values-prod.yaml","values","chart/values-prod.yaml","33","True"
"values-istio.yaml","values","chart/values-istio.yaml","28","True"
"billing-service-values.yaml","values","experiments/add-service/billing-service-values.yaml","13","True"
"helm-templates","templates","chart/templates","523","True"
"manual-billing-service","manual","baseline/manual-k8s/billing-service.yaml","142","True"
"competitor-kustomize","competitors","competitors/kustomize","0","False"
"competitor-helm-per-service","competitors","competitors/helm-per-service","0","False"
"competitor-timoni-cue","competitors","competitors/timoni","0","False"
