"name","command","exit_code","seconds","log_file"
"helm-lint","helm lint C:\Users\Данила\vscode\Meta-Chart\chart","0","0,126","logs/helm-lint.txt"
"rendered-dev","helm template demo C:\Users\Данила\vscode\Meta-Chart\chart -f C:\Users\Данила\vscode\Meta-Chart\chart\values-dev.yaml","0","0,102","logs/rendered-dev.txt"
"rendered-stage","helm template demo C:\Users\Данила\vscode\Meta-Chart\chart -f C:\Users\Данила\vscode\Meta-Chart\chart\values-stage.yaml","0","0,1","logs/rendered-stage.txt"
"rendered-prod","helm template demo C:\Users\Данила\vscode\Meta-Chart\chart -f C:\Users\Данила\vscode\Meta-Chart\chart\values-prod.yaml","0","0,103","logs/rendered-prod.txt"
"rendered-istio","helm template demo C:\Users\Данила\vscode\Meta-Chart\chart -f C:\Users\Данила\vscode\Meta-Chart\chart\values-dev.yaml -f C:\Users\Данила\vscode\Meta-Chart\chart\values-istio.yaml","0","0,114","logs/rendered-istio.txt"
"rendered-dev-with-billing","helm template demo C:\Users\Данила\vscode\Meta-Chart\chart -f C:\Users\Данила\vscode\Meta-Chart\chart\values-dev.yaml -f C:\Users\Данила\vscode\Meta-Chart\experiments\add-service\billing-service-values.yaml","0","0,108","logs/rendered-dev-with-billing.txt"
"schema-validation-invalid-values","helm template demo C:\Users\Данила\vscode\Meta-Chart\chart -f C:\Users\Данила\vscode\Meta-Chart\chart\values-dev.yaml -f C:\Users\Данила\vscode\Meta-Chart\experiments\invalid-values\bad-container-port.yaml","1","0,093","logs/schema-validation-invalid-values.txt"
"docker-build-frontend","docker build -t frontend:nonroot-local C:\Users\Данила\vscode\Meta-Chart\services\frontend","0","1,751","logs/docker-build-frontend.txt"
"docker-build-api-gateway","docker build -t api-gateway:nonroot-local C:\Users\Данила\vscode\Meta-Chart\services\api-gateway","0","1,392","logs/docker-build-api-gateway.txt"
"docker-build-user-service","docker build -t user-service:nonroot-local C:\Users\Данила\vscode\Meta-Chart\services\user-service","0","1,285","logs/docker-build-user-service.txt"
"docker-build-order-service","docker build -t order-service:nonroot-local C:\Users\Данила\vscode\Meta-Chart\services\order-service","0","1,295","logs/docker-build-order-service.txt"
"docker-build-notification-worker","docker build -t notification-worker:nonroot-local C:\Users\Данила\vscode\Meta-Chart\services\notification-worker","0","1,325","logs/docker-build-notification-worker.txt"
"kind-load-frontend","kind load docker-image frontend:nonroot-local --name vkr-demo","0","2,693","logs/kind-load-frontend.txt"
"kind-load-api-gateway","kind load docker-image api-gateway:nonroot-local --name vkr-demo","0","2,224","logs/kind-load-api-gateway.txt"
"kind-load-user-service","kind load docker-image user-service:nonroot-local --name vkr-demo","0","2,431","logs/kind-load-user-service.txt"
"kind-load-order-service","kind load docker-image order-service:nonroot-local --name vkr-demo","0","2,316","logs/kind-load-order-service.txt"
"kind-load-notification-worker","kind load docker-image notification-worker:nonroot-local --name vkr-demo","0","2,258","logs/kind-load-notification-worker.txt"
"helm-upgrade-install","helm upgrade --install demo C:\Users\Данила\vscode\Meta-Chart\chart -n demo-app --create-namespace -f C:\Users\Данила\vscode\Meta-Chart\chart\values-dev.yaml --set global.imageRegistry= --set global.imageTag=nonroot-local --set global.imagePullPolicy=IfNotPresent","0","0,687","logs/helm-upgrade-install.txt"
"helm-list","helm list -n demo-app","0","0,108","logs/helm-list.txt"
"kubectl-get-pods","kubectl get pods -n demo-app -o wide","0","0,123","logs/kubectl-get-pods.txt"
"kubectl-get-services","kubectl get svc -n demo-app","0","0,083","logs/kubectl-get-services.txt"
"kubectl-get-networkpolicies","kubectl get networkpolicy -n demo-app","0","0,079","logs/kubectl-get-networkpolicies.txt"
"kubectl-get-deployments","kubectl get deploy -n demo-app","0","0,084","logs/kubectl-get-deployments.txt"
"kubectl-wait-pods-ready","kubectl wait --for=condition=Ready pod -l app.kubernetes.io/instance=demo -n demo-app --timeout=120s","0","0,602","logs/kubectl-wait-pods-ready.txt"
