services,manual_lines,metachart_lines,saved_lines,saved_percent,manual_hours,metachart_hours_with_initial_design,saved_hours_with_initial_design
1,318.6,324,-5.4,-1.7,2.66,6.7,-4.04
2,637.2,337,300.2,47.1,5.31,6.81,-1.5
3,955.8,350,605.8,63.4,7.97,6.92,1.05
4,1274.4,363,911.4,71.5,10.62,7.03,3.6
5,1593.0,376,1217.0,76.4,13.28,7.13,6.14
6,1911.6,389,1522.6,79.7,15.93,7.24,8.69
7,2230.2,402,1828.2,82.0,18.58,7.35,11.23
8,2548.8,415,2133.8,83.7,21.24,7.46,13.78
9,2867.4,428,2439.4,85.1,23.89,7.57,16.33
10,3186.0,441,2745.0,86.2,26.55,7.67,18.88
